|time |ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0   |       0 |       0 |   0|      50 |       0 |       0 |
| 1   |       0 |       0 |   1|      50 |       0 |       0 |
| 2   |       0 |      50 |   2|      50 |       0 |       0 |
| 3   |      23 |      50 |   3|      50 |       0 |       0 |
| 4   |      23 |      50 |   4|      50 |       0 |       0 |
| 5   |      16 |      50 |   5|      50 |       0 |       0 |
| 6   |      16 |      50 |   6|      50 |       0 |       0 |
| 7   |   16384 |      50 |   7|      50 |       0 |       0 |
| 8   |   16384 |   16384 |   8|      50 |       0 |       0 |
| 9   |      17 |   16384 |   9|      50 |       0 |       0 |
| 10  |      17 |   16384 |  10|      50 |       0 |       0 |
| 11  |      17 |   16384 |  11|      50 |       0 |       0 |
| 12  |   16384 |   16384 |  12|      50 |       0 |       0 |
| 13  |   16384 |   16384 |  13|      50 |       0 |       0 |
| 14  |      17 |   16384 |  14|      50 |       0 |       0 |
| 15  |      17 |   16384 |  15|      50 |       0 |       0 |
| 16  |      32 |   16384 |  16|      50 |       0 |       0 |
| 17  |      32 |   16416 |  17|      50 |       0 |       0 |
| 18  |      17 |   16416 |  18|      50 |       0 |       0 |
| 19  |      17 |   16416 |  19|      50 |       0 |       0 |
| 20  |      16 |   16416 |  20|      50 |       0 |       0 |
| 21  |      16 |      49 |  21|      50 |       0 |       0 |
| 22  |      10 |      49 |  22|      50 |       0 |       0 |
| 23  |      10 |      49 |  10|      50 |       0 |       0 |
| 24  |      17 |      49 |  11|      50 |       0 |       0 |
| 25  |   16416 |      49 |  12|      50 |       0 |       0 |
| 26  |   16416 |      49 |  13|      50 |       0 |       0 |
| 27  |      17 |      49 |  14|      50 |       0 |       0 |
| 28  |      17 |   16416 |  15|      50 |       0 |       0 |
| 29  |      32 |   16416 |  16|      50 |       0 |       0 |
| 30  |      32 |   16448 |  17|      50 |       0 |       0 |
| 31  |      17 |   16448 |  18|      50 |       0 |       0 |
| 32  |      17 |   16448 |  19|      50 |       0 |       0 |
| 33  |      16 |   16448 |  20|      50 |       0 |       0 |
| 34  |      16 |      48 |  21|      50 |       0 |       0 |
| 35  |      10 |      48 |  22|      50 |       0 |       0 |
| 36  |      10 |      48 |  10|      50 |       0 |       0 |
| 37  |      17 |      48 |  11|      50 |       0 |       0 |
| 38  |   16448 |      48 |  12|      50 |       0 |       0 |
| 39  |   16448 |      48 |  13|      50 |       0 |       0 |
| 40  |      17 |      48 |  14|      50 |       0 |       0 |
| 41  |      17 |   16448 |  15|      50 |       0 |       0 |
| 42  |      32 |   16448 |  16|      50 |       0 |       0 |
| 43  |      32 |   16480 |  17|      50 |       0 |       0 |
| 44  |      17 |   16480 |  18|      50 |       0 |       0 |
| 45  |      17 |   16480 |  19|      50 |       0 |       0 |
| 46  |      16 |   16480 |  20|      50 |       0 |       0 |
| 47  |      16 |      47 |  21|      50 |       0 |       0 |
| 48  |      10 |      47 |  22|      50 |       0 |       0 |
| 49  |      10 |      47 |  10|      50 |       0 |       0 |
| 50  |      17 |      47 |  11|      50 |       0 |       0 |
| 51  |   16480 |      47 |  12|      50 |       0 |       0 |
| 52  |   16480 |      47 |  13|      50 |       0 |       0 |
| 53  |      17 |      47 |  14|      50 |       0 |       0 |
| 54  |      17 |   16480 |  15|      50 |       0 |       0 |
| 55  |      32 |   16480 |  16|      50 |       0 |       0 |
| 56  |      32 |   16512 |  17|      50 |       0 |       0 |
| 57  |      17 |   16512 |  18|      50 |       0 |       0 |
| 58  |      17 |   16512 |  19|      50 |       0 |       0 |
| 59  |      16 |   16512 |  20|      50 |       0 |       0 |
| 60  |      16 |      46 |  21|      50 |       0 |       0 |
| 61  |      10 |      46 |  22|      50 |       0 |       0 |
| 62  |      10 |      46 |  10|      50 |       0 |       0 |
| 63  |      17 |      46 |  11|      50 |       0 |       0 |
